"","title","description","collection_identifier","persistent_identifier","persistent_url","project_identifier","organisational_unit","type","preservation_time","state","publisher","data_use agreement","ethical_approvals","free_keywords","sfn_keywords","mesh_keywords","version","associated_publications","associated_data","associated_analysis tools","associated_preregistrations","authors","managers","contributors","number_of files","size","quota","creation_date","last_update date","embargo_until","publication_date","archival_date","viewers_by dua","viewers_by manager","views","downloads","data_volume","viewers","downloaders","year"
"1","Zwijsen Spelling Corpus",NA,"ru.cls.zwijsen_spelling_corpus_rdc_151","10.34973/hs02-7y22","https://doi.org/10.34973/hs02-7y22","zwijsen_spelling_corpus","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Strik, W.A.J. (Helmer); Heuvel, H. van den (Henk); Harmsen, W.N. (Wieke); Cucchiarini, C.",NA,37,34926164,5368709120,2023-11-16 07:50:44,2023-11-16 09:07:09,NA,NA,NA,0,0,2,0,0,2,0,2023
"2","Zwijsen Spelling Corpus",NA,"ru.cls.zwijsen_spelling_corpus_dac_717","10.34973/zzg5-3a44","https://doi.org/10.34973/zzg5-3a44","zwijsen_spelling_corpus","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Strik, W.A.J. (Helmer); Heuvel, H. van den (Henk); Harmsen, W.N. (Wieke); Cucchiarini, C.",NA,5,64806584,5368709120,2023-11-16 07:49:35,2023-11-16 09:00:48,NA,NA,NA,0,0,3,2,2221,3,2,2023
"3","What linguistics can learn from including nonhumans",NA,"ru.cls.what_linguistics_can_learn_from_including_nonhumans_rdc_914","10.34973/mjq3-av94","https://doi.org/10.34973/mjq3-av94","what_linguistics_can_learn_from_including_nonhumans","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Stommel, W.J.P. (Wyke); de Rijk, L.E.M.; Heuvel, H. van den (Henk)",NA,1,203,5368709120,2023-09-08 07:53:17,2023-09-08 07:53:18,NA,NA,NA,0,0,3,0,0,3,0,2023
"4","Writing self-efficacy",NA,"ru.cls.writing_self_efficacy_rdc_804","10.34973/hgnf-ef40","https://doi.org/10.34973/hgnf-ef40","writing_self_efficacy","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Schoonen, J.J.M.",NA,1,203,5368709120,2021-05-17 07:02:46,2021-10-08 08:54:12,NA,NA,NA,0,0,4,0,0,3,0,2021
"5","Writing self-efficacy",NA,"ru.cls.writing_self_efficacy_dac_156","10.34973/zrze-3n71","https://doi.org/10.34973/zrze-3n71","writing_self_efficacy","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Schoonen, J.J.M.",NA,1,203,5368709120,2021-05-17 07:02:03,2021-10-08 08:53:57,NA,NA,NA,0,0,3,0,0,2,0,2021
"6","What I can do with the right version of you: the impact of narrative perspective and (in)formal pronouns of address on reader's immersion","Readers experience stronger immersion while reading first-person narratives than third-person narratives. The impact of second-person narratives on immersion, however, remains unclear, despite the power of second-person pronouns to elicit high emotional engagement with texts and reader’s identification as the addressee and as a participant in the story. Further, languages such as French distinguish between formal and informal second-person pronouns, the suitability of which depends on the social situation, and the use of which impacts the perception of the interlocutor. We report on a self-paced reading experiment in which 111 French participants read short stories in first and in third person. Crucially, participants were directly addressed with ether formal or informal second-person pronouns in the final sentence as well as in a subsequent (off-line) questionnaire soliciting post-story attitude reports. Although we did not find significant differences between reading times with the different pronouns, participants reported higher immersion and emotional engagement after reading first-person stories than third-person stories. Moreover, the effect of first-person pronouns on immersion only occurred when participants were addressed with formal second-person pronouns. We take these findings as evidence for an effect of pronouns (first vs. third) on immersion via perspective shifts, and we moreover argue that the effect of being addressed with an unexpected (in this case, informal) pronoun can overrule such an effect, highlighting the importance of research into the impact of pronouns of address.","ru.cls.what_i_can_do_with_the_right_version_of_you_dsc_272","10.34973/gzx3-yk10","https://doi.org/10.34973/gzx3-yk10","what_i_can_do_with_the_right_version_of_you","CLS","Data Sharing Collection",10,"Editable","Radboud University","CC0-1.0",NA,"pronouns of address; processing; narrative; immersion; French",NA,NA,0,NA,NA,NA,NA,"Sanchez Carrasco, P. (Patricia); van Hoften, M.; Gert-Jan Schoenmakers","Sanchez Carrasco, P. (Patricia); Hoop, H. de (Helen); Heuvel, H. van den (Henk)",NA,8,1967825,5368709120,2024-01-31 09:44:24,2024-03-21 12:42:49,NA,NA,NA,0,0,13,0,0,5,0,2024
"7","Vaccine Information Now Playing on YouTube: A Two-Wave Experiment on the Effects of Video Streams on Viewers’ Attitudes, Attitude Strength, and Public Opinion Perceptions","A two-wave experiment (N=315; 246) assessed the hypothesis that video streams influence viewers’ attitudes heuristically, by affecting public opinion perceptions. Participants were assigned to positive, negative, or balanced YouTube video streams about vaccination, and to an ordered stream of increasingly extreme videos eight days later. Attitude, public opinion perceptions, attitude certainty and strength were measured at four points in time","ru.cls.vaccine_video_streams_rdc_786","10.34973/f5dr-ap57","https://doi.org/10.34973/f5dr-ap57","vaccine_video_streams","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,"video stream; vaccination; recommender system; public opinion; attitude; algorithm; YouTube",NA,NA,0,NA,NA,NA,NA,NA,"Das, H.H.J.",NA,1,203,5368709120,2022-01-14 08:48:57,2022-03-22 11:23:41,NA,NA,NA,0,0,5,0,0,4,0,2022
"8","What linguistics can learn from including nonhumans",NA,"ru.cls.what_linguistics_can_learn_from_including_nonhumans_dac_568","10.34973/82vf-7z22","https://doi.org/10.34973/82vf-7z22","what_linguistics_can_learn_from_including_nonhumans","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Stommel, W.J.P. (Wyke); de Rijk, L.E.M.; Heuvel, H. van den (Henk)",NA,7,8099189758,5368709120,2023-09-08 07:52:14,2023-09-12 13:19:58,NA,NA,NA,0,0,45,0,0,13,0,2023
"9","What I can do with the right version of you: the impact of narrative perspective and (in)formal pronouns of address on reader's immersion",NA,"ru.cls.what_i_can_do_with_the_right_version_of_you_rdc_196","10.34973/djzr-pm25","https://doi.org/10.34973/djzr-pm25","what_i_can_do_with_the_right_version_of_you","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Sanchez Carrasco, P. (Patricia); Hoop, H. de (Helen); Heuvel, H. van den (Henk)",NA,1,203,5368709120,2024-01-31 09:43:20,2024-01-31 09:43:21,NA,NA,NA,0,0,1,0,0,1,0,2024
"10","What I can do with the right version of you: the impact of narrative perspective and (in)formal pronouns of address on reader's immersion",NA,"ru.cls.what_i_can_do_with_the_right_version_of_you_dac_744","10.34973/zh6m-9v94","https://doi.org/10.34973/zh6m-9v94","what_i_can_do_with_the_right_version_of_you","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Sanchez Carrasco, P. (Patricia); Hoop, H. de (Helen); Heuvel, H. van den (Henk)",NA,1,203,5368709120,2024-01-31 09:42:07,2024-01-31 09:42:08,NA,NA,NA,0,0,2,0,0,2,0,2024
"11","Vaccine Video Streams","These data belong to the publication (under review) ""Vaccine Information Now Playing on YouTube: A Two-Wave Experiment on the Effects of Video Streams on Viewers’ Attitudes, Attitude Strength, and Public Opinion Perceptions"". This two-wave experiment (N=315; 246) assessed the hypothesis that video streams influence viewers’ attitudes heuristically, by affecting public opinion perceptions. Participants were assigned to positive, negative, or balanced YouTube video streams about vaccination, and to an ordered stream of increasingly extreme videos eight days later. Attitude, public opinion perceptions, attitude certainty and strength were measured at four points in time.","ru.cls.vaccine_video_streams_dsc_554","10.34973/saba-jb94","https://doi.org/10.34973/saba-jb94","vaccine_video_streams","CLS","Data Sharing Collection",10,"Reviewable External","Radboud University","CC-BY-NC-4.0",NA,"video streams; vaccination; recommender system; public opinion; attitude; algorithm; YouTube",NA,NA,0,NA,NA,NA,NA,"Das, H.H.J.","Das, H.H.J.",NA,97,68032992,5368709120,2022-01-14 08:49:41,2022-03-22 12:30:45,NA,NA,NA,0,0,19,556,360402551,8,4,2022
"12","Vaccine Video Streams",NA,"ru.cls.vaccine_video_streams_dac_465","10.34973/qtb4-g409","https://doi.org/10.34973/qtb4-g409","vaccine_video_streams","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Das, H.H.J.",NA,1,203,5368709120,2022-01-14 08:47:58,2022-01-14 08:48:02,NA,NA,NA,0,0,4,0,0,3,0,2022
"13","Understanding aphantasia: Exploring language in minds without imagery",NA,"ru.cls.understanding_aphantasia_dac_013","10.34973/dj34-3n82","https://doi.org/10.34973/dj34-3n82","understanding_aphantasia","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Speed, L.J.",NA,1,203,5368709120,2022-10-10 09:53:34,2022-10-10 09:53:37,NA,NA,NA,0,0,5,0,0,3,0,2022
"14","Treasure Hunters: speech training for neurological patients using a serious game",NA,"ru.cls.treasure_hunters_dsc_636","10.34973/0w4g-bb09","https://doi.org/10.34973/0w4g-bb09","treasure_hunters","CLS","Data Sharing Collection",10,"Editable","Radboud University","RU-HD-1.1",NA,"stroke; speech training; speech therapy; speech technology; speech intelligibility; serious gaming; efficacy study; eHealth; dysarthria; cva; Parkinson's Disease",NA,NA,0,"DOI: 10.1111/bjet.12640",NA,NA,NA,NA,"Heuvel, H. van den (Henk); Ganzeboom, M.S.",NA,3,797,5368709120,2021-10-26 06:26:16,2022-04-20 19:15:41,NA,NA,NA,0,0,8,2,429,7,1,2021
"15","Turn-taking in dialogue in communicatively impaired populations",NA,"ru.cls.turn_taking_in_dialogue_rdc_118","10.34973/g5fj-6720","https://doi.org/10.34973/g5fj-6720","turn_taking_in_dialogue","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Janse, E.; Heuvel, H. van den (Henk)",NA,1,203,5368709120,2023-03-28 09:49:03,2023-03-28 09:49:07,NA,NA,NA,0,0,1,0,0,1,0,2023
"16","Turn-taking in dialogue in communicatively impaired populations",NA,"ru.cls.turn_taking_in_dialogue_dac_894","10.34973/vhj5-dd90","https://doi.org/10.34973/vhj5-dd90","turn_taking_in_dialogue","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Janse, E.; Heuvel, H. van den (Henk)",NA,1,203,5368709120,2023-03-28 09:47:37,2023-03-28 09:47:43,NA,NA,NA,0,0,1,0,0,1,0,2023
"17","Understanding aphantasia: Exploring language in minds without imagery",NA,"ru.cls.understanding_aphantasia_rdc_505","10.34973/epvh-5726","https://doi.org/10.34973/epvh-5726","understanding_aphantasia","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Speed, L.J.",NA,1,203,5368709120,2022-10-10 09:54:46,2022-10-10 09:54:49,NA,NA,NA,0,0,2,0,0,2,0,2022
"18","Dataset of art-meets-science project 'This Body That Once Was You'","This study assessed the effects of an art installation against two control conditions (death reflection control, neutral control) across two time points; immediately after exposure and two weeks later","ru.cls.this_body_dsc_236","10.34973/hw0z-rd91","https://doi.org/10.34973/hw0z-rd91","this_body","CLS","Data Sharing Collection",10,"Reviewable External","Radboud University","CC-BY-NC-SA-4.0",NA,"death; connectedness; being moved; art; appreciation of life",NA,NA,0,NA,NA,NA,NA,"Das, H.H.J.","Das, H.H.J.",NA,5,1768187,5368709120,2021-06-23 09:34:24,2023-03-30 12:03:34,NA,NA,NA,0,0,31,4,2823,11,2,2021
"19","BA scriptiekring technologie-gemedieerde interactie",NA,"ru.cls.technologie_gemedieerde_interactie_rdc_062","10.34973/3c7r-bh36","https://doi.org/10.34973/3c7r-bh36","technologie_gemedieerde_interactie","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Stommel, W.J.P. (Wyke); Heuvel, H. van den (Henk); Dalmaijer, E. (Evi)",NA,1,203,5368709120,2023-02-02 11:59:15,2023-02-02 11:59:23,NA,NA,NA,0,0,3,0,0,3,0,2023
"20","BA scriptiekring technologie-gemedieerde interactie","Via deze weg kan data beschikbaar gemaakt worden voor de BA scriptiekring.","ru.cls.technologie_gemedieerde_interactie_dac_054","10.34973/xn3q-xq73","https://doi.org/10.34973/xn3q-xq73","technologie_gemedieerde_interactie","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Stommel, W.J.P. (Wyke); Heuvel, H. van den (Henk); Dalmaijer, E. (Evi)",NA,1,203,5368709120,2023-02-02 11:57:39,2023-11-22 08:38:30,NA,NA,NA,0,0,67,1220,109382935722,50,49,2023
"21","This Body That Once Was You",NA,"ru.cls.this_body_rdc_779","10.34973/gcp1-a432","https://doi.org/10.34973/gcp1-a432","this_body","CLS","Research Documentation Collection",10,"Reviewable Internal","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Das, H.H.J.",NA,3,1744372,5368709120,2021-06-23 09:33:31,2023-03-30 11:38:35,NA,NA,NA,0,0,8,3,3485596,3,1,2021
"22","dataset art-meets-science project 'This Body That Once Was You'","This dataset contains the data collected for an art-meets-science project in which we tested the effects of an art installation against two control conditions across two data waves. Main dependent measures are connectedness and appreciation of life.","ru.cls.this_body_dac_404","10.34973/zxzy-dq12","https://doi.org/10.34973/zxzy-dq12","this_body","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Das, H.H.J.",NA,1,203,5368709120,2021-06-23 09:32:28,2023-03-30 11:45:44,NA,NA,NA,0,0,7,0,0,3,0,2021
"23","Transcendent Narratives",NA,"ru.cls.transcendent_narratives_dac_234","10.34973/j6a2-bk74","https://doi.org/10.34973/j6a2-bk74","transcendent_narratives","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Das, H.H.J.",NA,1,203,5368709120,2021-11-01 14:56:07,2021-11-01 14:56:12,NA,NA,NA,0,0,5,0,0,4,0,2021
"24","Transcendent Narratives",NA,"ru.cls.transcendent_narratives_dac_303","10.34973/w3w6-y879","https://doi.org/10.34973/w3w6-y879","transcendent_narratives","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Das, H.H.J.",NA,3,1589563,5368709120,2021-11-01 14:56:56,2022-02-25 18:47:23,NA,NA,NA,0,0,6,8,1593659,5,2,2021
