doi,best_oa_evidence,best_oa_host,best_oa_license,best_oa_url,best_oa_url_is_pdf,best_oa_version,data_standard,doi_url,genre,is_oa,is_paratext,journal_is_in_doaj,journal_is_oa,journal_issn_l,journal_issns,journal_name,oa_status,published_date,publisher
10.1075/msw.17026.rei,,,,,False,,2,https://doi.org/10.1075/msw.17026.rei,journal-article,False,False,False,False,2210-4070,"2210-4070,2210-4097",Metaphor and the Social World,closed,2018-05-07,John Benjamins Publishing Company
10.1075/ijlcr.00001.haa,,,,,False,,2,https://doi.org/10.1075/ijlcr.00001.haa,journal-article,False,False,False,False,2215-1478,"2215-1478,2215-1486",International Journal of Learner Corpus Research,closed,2018-05-31,John Benjamins Publishing Company
10.22363/2312-9182-2018-22-1-195-199,oa journal (via doaj),publisher,cc-by,http://journals.rudn.ru/linguistics/article/download/17855/15450,True,publishedVersion,2,https://doi.org/10.22363/2312-9182-2018-22-1-195-199,journal-article,True,False,True,True,2312-9182,2312-9182,Russian Journal of Linguistics,gold,2018-01-01,Peoples' Friendship University of Russia
10.1016/j.esp.2017.12.003,,,,,False,,2,https://doi.org/10.1016/j.esp.2017.12.003,journal-article,False,False,False,False,0889-4906,0889-4906,English for Specific Purposes,closed,2018-04-01,Elsevier BV
10.1007/978-3-030-31691-4_4,,,,,False,,2,https://doi.org/10.1007/978-3-030-31691-4_4,book-chapter,False,False,False,False,,,Foreign Languages in Advertising,closed,2019-12-18,Springer International Publishing
10.1007/978-3-030-31691-4_5,,,,,False,,2,https://doi.org/10.1007/978-3-030-31691-4_5,book-chapter,False,False,False,False,,,Foreign Languages in Advertising,closed,2019-12-18,Springer International Publishing
10.1007/978-3-030-31691-4_6,,,,,False,,2,https://doi.org/10.1007/978-3-030-31691-4_6,book-chapter,False,False,False,False,,,Foreign Languages in Advertising,closed,2019-12-18,Springer International Publishing
10.1007/978-3-030-31691-4_3,,,,,False,,2,https://doi.org/10.1007/978-3-030-31691-4_3,book-chapter,False,False,False,False,,,Foreign Languages in Advertising,closed,2019-12-18,Springer International Publishing
10.1007/978-3-030-31691-4_7,,,,,False,,2,https://doi.org/10.1007/978-3-030-31691-4_7,book-chapter,False,False,False,False,,,Foreign Languages in Advertising,closed,2019-12-18,Springer International Publishing
10.1007/978-3-030-31691-4_1,,,,,False,,2,https://doi.org/10.1007/978-3-030-31691-4_1,book-chapter,False,False,False,False,,,Foreign Languages in Advertising,closed,2019-12-18,Springer International Publishing
10.1007/978-3-030-31691-4_2,,,,,False,,2,https://doi.org/10.1007/978-3-030-31691-4_2,book-chapter,False,False,False,False,,,Foreign Languages in Advertising,closed,2019-12-18,Springer International Publishing
10.1007/978-3-319-69830-4_3,,,,,False,,2,https://doi.org/10.1007/978-3-319-69830-4_3,book-chapter,False,False,False,False,2199-0964,"2199-0956,2199-0964",Mixed-Effects Regression Models in Linguistics,closed,2018-01-01,Springer International Publishing
10.4324/9780429199691-13,,,,,False,,2,https://doi.org/10.4324/9780429199691-13,book-chapter,False,False,False,False,,,The Routledge Handbook of Second Language Acquisition and Writing,closed,2021-11-18,Routledge
10.1075/rllt.13.01ber,,,,,False,,2,https://doi.org/10.1075/rllt.13.01ber,book-chapter,False,False,False,False,1574-552X,1574-552X,Romance Languages and Linguistic Theory 13,closed,2018-07-12,John Benjamins Publishing Company
10.1109/icassp40776.2020.9054751,,,,,False,,2,https://doi.org/10.1109/icassp40776.2020.9054751,proceedings-article,False,False,False,False,,,"ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",closed,2020-05-01,IEEE
10.21437/interspeech.2018-2275,,,,,False,,2,https://doi.org/10.21437/interspeech.2018-2275,proceedings-article,False,False,False,False,,,Interspeech 2018,closed,2018-09-02,ISCA
10.1109/icassp39728.2021.9414756,oa repository (via OAI-PMH doi match),repository,,http://publications.idiap.ch/downloads/papers/2021/Mostaani_ICASSP_2021.pdf,True,submittedVersion,2,https://doi.org/10.1109/icassp39728.2021.9414756,proceedings-article,True,False,False,False,,,"ICASSP 2021 - 2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",green,2021-06-06,IEEE
10.1109/icassp40776.2020.9053753,oa repository (via OAI-PMH title and first author match),repository,,https://repository.ubn.ru.nl/bitstream/handle/2066/228209/1/228209.pdf,True,publishedVersion,2,https://doi.org/10.1109/icassp40776.2020.9053753,proceedings-article,True,False,False,False,,,"ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",green,2020-05-01,IEEE
10.1109/icassp39728.2021.9414642,,,,,False,,2,https://doi.org/10.1109/icassp39728.2021.9414642,proceedings-article,False,False,False,False,,,"ICASSP 2021 - 2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",closed,2021-06-06,IEEE
10.21437/interspeech.2018-1707,oa repository (via OAI-PMH doi match),repository,,https://repository.tudelft.nl/islandora/object/uuid%3A33a28b86-c5dc-4d14-bfae-08d3dcf2cdbf/datastream/OBJ/download,True,submittedVersion,2,https://doi.org/10.21437/interspeech.2018-1707,proceedings-article,True,False,False,False,,,Interspeech 2018,green,2018-09-02,ISCA
