doi,best_oa_evidence,best_oa_host,best_oa_license,best_oa_url,best_oa_url_is_pdf,best_oa_version,data_standard,doi_url,genre,is_oa,is_paratext,journal_is_in_doaj,journal_is_oa,journal_issn_l,journal_issns,journal_name,oa_status,published_date,publisher,year,oa_status_d
10.1002/jaal.1303,open (via crossref license),publisher,cc-by,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jaal.1303,TRUE,publishedVersion,2,https://doi.org/10.1002/jaal.1303,journal-article,TRUE,FALSE,FALSE,FALSE,1081-3004,"1081-3004,1936-2706",Journal of Adolescent &amp; Adult Literacy,hybrid,2023-07-19,Wiley,2023,hybrid
10.1037/xge0001376,NA,NA,NA,NA,FALSE,NA,2,https://doi.org/10.1037/xge0001376,journal-article,FALSE,FALSE,FALSE,FALSE,0096-3445,"1939-2222,0096-3445",Journal of Experimental Psychology: General,closed,2023-08-01,American Psychological Association (APA),2023,closed
10.1016/j.lingua.2023.103524,open (via crossref license),publisher,cc-by,https://doi.org/10.1016/j.lingua.2023.103524,TRUE,publishedVersion,2,https://doi.org/10.1016/j.lingua.2023.103524,journal-article,TRUE,FALSE,FALSE,FALSE,0024-3841,0024-3841,Lingua,hybrid,2023-06-01,Elsevier BV,2023,hybrid
10.1515/phon-2023-2003,open (via page says license),publisher,cc-by,https://www.degruyter.com/document/doi/10.1515/phon-2023-2003/pdf,TRUE,publishedVersion,2,https://doi.org/10.1515/phon-2023-2003,journal-article,TRUE,FALSE,FALSE,FALSE,0031-8388,"0031-8388,1423-0321",Phonetica,hybrid,2023-10-19,Walter de Gruyter GmbH,2023,hybrid
10.1075/avt.00082.jac,open (via page says license),publisher,cc-by,https://www.jbe-platform.com/deliver/fulltext/avt.00082.jac.pdf?itemId=%2Fcontent%2Fjournals%2F10.1075%2Favt.00082.jac&mimeType=pdf&containerItemId=content/journals/15699919,TRUE,publishedVersion,2,https://doi.org/10.1075/avt.00082.jac,journal-article,TRUE,FALSE,FALSE,FALSE,0929-7332,"0929-7332,1569-9919",Linguistics in the Netherlands 2023,hybrid,2023-11-03,John Benjamins Publishing Company,2023,hybrid
10.1080/02687038.2022.2109124,open (via crossref license),publisher,cc-by-nc-nd,https://www.tandfonline.com/doi/pdf/10.1080/02687038.2022.2109124?needAccess=true&role=button,TRUE,publishedVersion,2,https://doi.org/10.1080/02687038.2022.2109124,journal-article,TRUE,FALSE,FALSE,FALSE,0268-7038,"0268-7038,1464-5041",Aphasiology,hybrid,2022-08-19,Informa UK Limited,2022,hybrid
10.21437/interspeech.2023-839,oa repository (via OAI-PMH doi match),repository,NA,https://repository.ubn.ru.nl//bitstream/handle/2066/299421/299421.pdf,TRUE,submittedVersion,2,https://doi.org/10.21437/interspeech.2023-839,proceedings-article,TRUE,FALSE,FALSE,FALSE,NA,NA,INTERSPEECH 2023,green,2023-08-20,ISCA,2023,diamond
10.21437/interspeech.2023-1734,oa repository (via OAI-PMH doi match),repository,NA,https://arxiv.org/pdf/2306.03443,TRUE,submittedVersion,2,https://doi.org/10.21437/interspeech.2023-1734,proceedings-article,TRUE,FALSE,FALSE,FALSE,NA,NA,INTERSPEECH 2023,green,2023-08-20,ISCA,2023,diamond
10.21437/interspeech.2023-2084,oa repository (via OAI-PMH doi match),repository,NA,https://repository.ubn.ru.nl//bitstream/handle/2066/299814/299814.pdf,TRUE,submittedVersion,2,https://doi.org/10.21437/interspeech.2023-2084,proceedings-article,TRUE,FALSE,FALSE,FALSE,NA,NA,INTERSPEECH 2023,green,2023-08-20,ISCA,2023,diamond
10.1007/s10579-023-09684-x,open (via crossref license),publisher,cc-by,https://link.springer.com/content/pdf/10.1007/s10579-023-09684-x.pdf,TRUE,publishedVersion,2,https://doi.org/10.1007/s10579-023-09684-x,journal-article,TRUE,FALSE,FALSE,FALSE,1574-020X,"1574-020X,1574-0218",Language Resources and Evaluation,hybrid,2023-08-29,Springer Science and Business Media LLC,2023,hybrid
10.26116/t9eb-fr769789464857184,NA,NA,NA,NA,FALSE,NA,1,https://doi.org/10.26116/t9eb-fr769789464857184,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
10.1111/cogs.13219,oa repository (via OAI-PMH doi match),repository,cc-by,https://repository.ubn.ru.nl//bitstream/handle/2066/291922/291922.pdf,TRUE,publishedVersion,2,https://doi.org/10.1111/cogs.13219,journal-article,TRUE,FALSE,FALSE,FALSE,0364-0213,"0364-0213,1551-6709",Cognitive Science,green,2023-01-01,Wiley,2023,green
10.26512/rbla.v15i1.50748,NA,NA,NA,NA,FALSE,NA,1,https://doi.org/10.26512/rbla.v15i1.50748,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
10.1075/avt.00090.wet,open (via page says license),publisher,cc-by,https://www.jbe-platform.com/deliver/fulltext/avt.00090.wet.pdf?itemId=%2Fcontent%2Fjournals%2F10.1075%2Favt.00090.wet&mimeType=pdf&containerItemId=content/journals/15699919,TRUE,publishedVersion,2,https://doi.org/10.1075/avt.00090.wet,journal-article,TRUE,FALSE,FALSE,FALSE,0929-7332,"0929-7332,1569-9919",Linguistics in the Netherlands 2023,hybrid,2023-11-03,John Benjamins Publishing Company,2023,hybrid
10.21437/interspeech.2023-1635,NA,NA,NA,NA,FALSE,NA,2,https://doi.org/10.21437/interspeech.2023-1635,proceedings-article,FALSE,FALSE,FALSE,FALSE,NA,NA,INTERSPEECH 2023,closed,2023-08-20,ISCA,2023,diamond
10.1016/j.jcomdis.2023.106301,open (via crossref license),publisher,cc-by,https://doi.org/10.1016/j.jcomdis.2023.106301,TRUE,publishedVersion,2,https://doi.org/10.1016/j.jcomdis.2023.106301,journal-article,TRUE,FALSE,FALSE,FALSE,0021-9924,0021-9924,Journal of Communication Disorders,hybrid,2023-03-01,Elsevier BV,2023,hybrid
10.1515/flin-2023-2015,open (via page says license),publisher,cc-by,https://www.degruyter.com/document/doi/10.1515/flin-2023-2015/pdf,TRUE,publishedVersion,2,https://doi.org/10.1515/flin-2023-2015,journal-article,TRUE,FALSE,FALSE,FALSE,0165-4004,"0165-4004,1614-7308",Folia Linguistica,hybrid,2023-05-10,Walter de Gruyter GmbH,2023,hybrid
10.21437/interspeech.2023-1681,oa repository (via OAI-PMH doi match),repository,NA,https://arxiv.org/pdf/2306.03444,TRUE,submittedVersion,2,https://doi.org/10.21437/interspeech.2023-1681,proceedings-article,TRUE,FALSE,FALSE,FALSE,NA,NA,INTERSPEECH 2023,green,2023-08-20,ISCA,2023,diamond
10.48550/arxiv.2306.16710,NA,NA,NA,NA,FALSE,NA,1,https://doi.org/10.48550/arxiv.2306.16710,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
10.4230/oasics.slate.2023.7,NA,NA,NA,NA,FALSE,NA,1,https://doi.org/10.4230/oasics.slate.2023.7,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
10.1111/cogs.13230,oa repository (via OAI-PMH doi match),repository,NA,https://repository.ubn.ru.nl//bitstream/handle/2066/291926/291926.pdf,TRUE,publishedVersion,2,https://doi.org/10.1111/cogs.13230,journal-article,TRUE,FALSE,FALSE,FALSE,0364-0213,"0364-0213,1551-6709",Cognitive Science,green,2023-01-01,Wiley,2023,green
