PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
C	Meijer, V; Hendrickx, I	Mariani, J	Calzolari, N; Bechet, F; Blache, P; Choukri, K; Cieri, C; Declerck, T; Goggi, S; Isahara, H; Maegaard, B; Mazo, H; Odijk, H; Piperidis, S		Meijer, Virginia; Hendrickx, Iris	Mariani, J		Creating a Data Set of Abstractive Summaries of Turn-labeled Spoken Human-Computer Conversations	LREC 2022: THIRTEEN INTERNATIONAL CONFERENCE ON LANGUAGE RESOURCES AND EVALUATION			English	Proceedings Paper	13th International Conference on Language Resources and Evaluation (LREC)	JUN 20-25, 2022	Marseille, FRANCE	Google, S African Ctr Digital Language Resources, Vocapia Res, 3M, Emvista, Expert.ai, Grammarly, Minist Culture, Delegat Gen Langue Francaise Aux Langues France, Reg Sud Provence Alpes Cote Azur		automatic summarization; human-computer interaction; corpus creation		Digital recorded written and spoken dialogues are becoming increasingly available as an effect of the technological advances such as online messenger services and the use of chatbots. Summaries are a natural way of presenting the important information gathered from dialogues. We present a unique data set that consists of Dutch spoken human-computer conversations, an annotation layer of turn labels, and conversational abstractive summaries of user answers. The data set is publicly available for research purposes. We used this data set to train and evaluate two transformer abstractive summarization models for Dutch dialogues. We briefly discuss the performance and errors of these summarization models and conclude that these models are not yet sufficient to be used in practice.	[Meijer, Virginia; Hendrickx, Iris] Radboud Univ Nijmegen, Ctr Language & Speech Technol, Ctr Language Studies, Erasmuspl 1, NL-6500 HD Nijmegen, Netherlands	Radboud University Nijmegen	Meijer, V (corresponding author), Radboud Univ Nijmegen, Ctr Language & Speech Technol, Ctr Language Studies, Erasmuspl 1, NL-6500 HD Nijmegen, Netherlands.	virginiapatricia96@gmail.com; iris.hendrickx@ru.nl			Dutch Research Council (NWO) [628.011.029]	Dutch Research Council (NWO)(Netherlands Organization for Scientific Research (NWO))	This work is part of the research programme Data2Person with project no. 628.011.029, which is (partially) financed by the Dutch Research Council (NWO). We thank Zjoske Koks for helping out with the annotation and we would like to thank the reviewers for their valuable comments.		21	0	0	0	0	EUROPEAN LANGUAGE RESOURCES ASSOC-ELRA	PARIS	55-57, RUE BRILLAT-SAVARIN, PARIS, 75013, FRANCE			979-10-95546-72-6				2022							2236	2244						9	Computer Science, Interdisciplinary Applications; Linguistics	Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Computer Science; Linguistics	BU2ZO					2024-03-15	WOS:000889371702037
J	van Putten, S				van Putten, Saskia			Perception verbs and the conceptualization of the senses: The case of Avatime	LINGUISTICS			English	Article						perception verbs; lexical semantics; polysemy; Niger-Congo languages	POLYSEMY	Languages differ in their number of basic verbs that describe perceptual experience. Some languages have only two such verbs: one for visual perception and another for non-visual perception. How do speakers of these languages conceptualize sensory perception? To shed light on this question, this paper investigates the perception verbs mo 'see' and nu 'hear/feel/taste/smell' in Avatime (Kwa, Niger-Congo). These verbs are studied together with the constructions in which they occur, using both translated data and spontaneous discourse. Both perception meanings and meanings outside the domain of perception are taken into account. The detailed picture that emerges shows some previously undocumented patterns of perception encoding and enriches our understanding of the conceptualization of the senses more generally.	[van Putten, Saskia] Radboud Univ Nijmegen, Ctr Language Studies, POB 9103, NL-6500 HD Nijmegen, Netherlands	Radboud University Nijmegen	van Putten, S (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, POB 9103, NL-6500 HD Nijmegen, Netherlands.	s.vanputten@let.ru.nl			Swedish Foundation for Humanities and Social Sciences Jubilee Initiative Grant [NHS14-1665:1]	Swedish Foundation for Humanities and Social Sciences Jubilee Initiative Grant(Swedish Foundation for Humanities & Social Sciences)	I would like to thank all the speakers of Avatime who have helped me in various ways, especially Samuel Oboni, Prosper Dugboryele, Eli Wisdom Bobo and Charlotte Bakudie. I am grateful to Asifa Majid and the other members of the RU MCC lab for helpful feedback on presentations of the results of this study. I would also like to thank Carolyn O'Meara, Lila San Roque, Niclas Burenhult and two anonymous referees for comments on previous versions of this paper. Thanks to Rebecca Defina for collecting part of the data. This research was supported by a Swedish Foundation for Humanities and Social Sciences Jubilee Initiative Grant (NI IS14-1665:1).		44	5	5	0	3	DE GRUYTER MOUTON	BERLIN	GENTHINER STRASSE 13, 10785 BERLIN, GERMANY	0024-3949	1613-396X		LINGUISTICS	Linguistics	MAR	2020	58	2					425	462		10.1515/ling-2020-0039	http://dx.doi.org/10.1515/ling-2020-0039			38	Linguistics; Language & Linguistics	Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI)	Linguistics	LG7JH		hybrid, Green Published			2024-03-15	WOS:000528272000004
C	Mulder, K; ten Bosch, L; Boves, L			Int Speech Commun Assoc	Mulder, Kimberley; ten Bosch, Louis; Boves, Lou			Analyzing EEG signals in auditory speech comprehension using Temporal Response Functions and Generalized Additive Models	19TH ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION ASSOCIATION (INTERSPEECH 2018), VOLS 1-6: SPEECH RESEARCH FOR EMERGING MARKETS IN MULTILINGUAL SOCIETIES	Interspeech		English	Proceedings Paper	19th Annual Conference of the International-Speech-Communication-Association (INTERSPEECH 2018)	AUG 02-SEP 06, 2018	Hyderabad, INDIA	Int Speech Commun Assoc		ERP analyses; speech comprehension; reduced speech	REVERSE-CORRELATION	Analyzing EEG signals recorded while participants are listening to continuous speech with the purpose of testing linguistic hypotheses is complicated by the fact that the signals simultaneously reflect exogenous acoustic excitation and endogenous linguistic processing. This makes it difficult to trace subtle differences that occur in mid-sentence position. We apply an analysis based on multivariate temporal response functions to uncover subtle mid-sentence effects. This approach is based on a per-stimulus estimate of the response of the neural system to speech input. Analyzing EEG signals predicted on the basis of the response functions might then bring to light condition specific differences in the filtered signals. We validate this approach by means of an analysis of EEG signals recorded with isolated word stimuli. Then, we apply the validated method to the analysis of the responses to the same words in the middle of meaningful sentences.	[Mulder, Kimberley; ten Bosch, Louis; Boves, Lou] Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands	Radboud University Nijmegen	Mulder, K (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands.	Kimberley.Mulder@let.ru.nl; 1.tenbosch@let.ru.nl; l.boves@ru.nl		ten bosch, louis/0000-0002-0152-9024	ERC [284108]; European Research Council (ERC) [284108] Funding Source: European Research Council (ERC)	ERC(European Research Council (ERC)); European Research Council (ERC)(European Research Council (ERC)Spanish Government)	This work was supported in part by an ERC consolidator grant awarded to prof. Mirjam Ernestus (nr 284108).		19	3	3	1	3	ISCA-INT SPEECH COMMUNICATION ASSOC	BAIXAS	C/O EMMANUELLE FOXONET, 4 RUE DES FAUVETTES, LIEU DIT LOUS TOURILS, BAIXAS, F-66390, FRANCE	2308-457X		978-1-5108-7221-9	INTERSPEECH			2018							1452	1456		10.21437/Interspeech.2018-1676	http://dx.doi.org/10.21437/Interspeech.2018-1676			5	Computer Science, Artificial Intelligence; Computer Science, Theory & Methods; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Engineering	BM5PH		Green Submitted			2024-03-15	WOS:000465363900303
J	Trompenaars, T; Hogeweg, L; Stoop, W; de Hoop, H				Trompenaars, Thijs; Hogeweg, Lotte; Stoop, Wessel; de Hoop, Helen			The language of an inanimate narrator	OPEN LINGUISTICS			English	Article						Animacy; conceptual animacy; inanimate narrator; Agent; Experiencer	ANIMACY; ENGLISH; ASYMMETRIES; PERCEPTION; GERMAN; ROLES	We show by means of a corpus study that the language used by the inanimate first person narrator in the novel Specht en zoon deviates from what we would expect on the basis of the fact that the narrator is inanimate, but at the same time also differs from the language of a human narrator in the novel De wijde blik on several linguistic dimensions. Whereas the human narrator is associated strongly with action verbs, preferring the Agent role, the inanimate narrator is much more limited to the Experiencer role, predominantly associated with cognition and sensory verbs. Our results show that animacy as a linguistic concept may be refined by taking into account the myriad ways in which an entity's conceptual animacy may be expressed: we accept the conceptual animacy of the inanimate narrator despite its inability to act on its environment, showing this need not be a requirement for animacy.	[Trompenaars, Thijs] Radboud Univ Nijmegen, Nijmegen, Netherlands; [Hogeweg, Lotte; de Hoop, Helen] Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands; [Stoop, Wessel] Radboud Univ Nijmegen, Ctr Language & Speech Technol, Nijmegen, Netherlands	Radboud University Nijmegen; Radboud University Nijmegen; Radboud University Nijmegen	Trompenaars, T (corresponding author), Radboud Univ Nijmegen, Nijmegen, Netherlands.	t.trompenaars@let.ru.nl		de Hoop, Helen/0000-0001-8652-1146					44	6	6	0	1	DE GRUYTER POLAND SP ZOO	WARSAW	BOGUMILA ZUGA 32A STR., 01-811 WARSAW, POLAND	2300-9969			OPEN LINGUIST	Open Linguist.	JAN	2018	4	1					707	721		10.1515/opli-2018-0034	http://dx.doi.org/10.1515/opli-2018-0034			15	Linguistics	Emerging Sources Citation Index (ESCI)	Linguistics	HS6SX		gold, Green Published			2024-03-15	WOS:000464002700015
C	Liesenfeld, A; Lopez, A; Dingemanse, M			ACM	Liesenfeld, Andreas; Lopez, Alianda; Dingemanse, Mark			Opening up ChatGPT: Tracking openness, transparency, and accountability in instruction-tuned text generators	PROCEEDINGS OF THE 5TH INTERNATIONAL CONFERENCE ON CONVERSATIONAL USER INTERFACES, CUI 2023			English	Proceedings Paper	5th International Conference on Conversational User Interfaces (CUI)	JUL 19-21, 2023	Eindhoven Univ Technol, Eindhoven, NETHERLANDS	Assoc Comp Machinery, ACM SIGCHI, Bold Insight UK, Eindhoven Univ Technol, Eindhoven AI Syst Inst, HMD Res	Eindhoven Univ Technol	open source; survey; chatGPT; large language models; RLHF	AI	Large language models that exhibit instruction-following behaviour represent one of the biggest recent upheavals in conversational interfaces, a trend in large part fuelled by the release of OpenAI's ChatGPT, a proprietary large language model for text generation fine-tuned through reinforcement learning from human feedback (LLM+RLHF). We review the risks of relying on proprietary software and survey the first crop of open-source projects of comparable architecture and functionality. The main contribution of this paper is to show that openness is differentiated, and to offer scientific documentation of degrees of openness in this fast-moving field. We evaluate projects in terms of openness of code, training data, model weights, RLHF data, licensing, scientific documentation, and access methods. We find that while there is a fast-growing list of projects billing themselves as 'open source', many inherit undocumented data of dubious legality, few share the all-important instruction-tuning (a key site where human annotation labour is involved), and careful scientific documentation is exceedingly rare. Degrees of openness are relevant to fairness and accountability at all points, from data collection and curation to model architecture, and from training and fine-tuning to release and deployment.	[Liesenfeld, Andreas; Lopez, Alianda; Dingemanse, Mark] Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands	Radboud University Nijmegen	Liesenfeld, A (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands.	andreas.liesenfeld@ru.nl; ada.lopez@ru.nl; mark.dingemanse@ru.nl	Dingemanse, M./U-5176-2018	Dingemanse, M./0000-0002-3290-5723	Dutch Research Council (NWO) [016.vidi.185.205]	Dutch Research Council (NWO)(Netherlands Organization for Scientific Research (NWO))	This research is funded by Dutch Research Council (NWO) grant 016.vidi.185.205 to MD. For the purpose of Open Access the authors have applied a CC BY public copyright licence to any Author Accepted Manuscript version arising from this submission.		58	2	2	1	1	ASSOC COMPUTING MACHINERY	NEW YORK	1601 Broadway, 10th Floor, NEW YORK, NY, UNITED STATES			979-8-4007-0014-9				2023									47	10.1145/3571884.3604316	http://dx.doi.org/10.1145/3571884.3604316			6	Computer Science, Cybernetics; Psychology	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Psychology	BW2OK		Green Submitted			2024-03-15	WOS:001122710800047
J	Speed, LJ				Speed, Laura J.			Sensory Linguistics	LANGUAGE AND COGNITION			English	Book Review							MODALITY EXCLUSIVITY NORMS; ODORS; SYNAESTHESIA; VALENCE		[Speed, Laura J.] Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands	Radboud University Nijmegen	Speed, LJ (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands.	l.speed@let.ru.nl			National Social Science Fund of China [18XYY003]	National Social Science Fund of China	This study was supported by the National Social Science Fund of China (Grant number: 18XYY003).		29	0	0	0	5	CAMBRIDGE UNIV PRESS	CAMBRIDGE	EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND	1866-9808	1866-9859		LANG COGN	Lang. Cogn.	JUN	2021	13	2					327	336		10.1017/langcog.2020.36	http://dx.doi.org/10.1017/langcog.2020.36			10	Linguistics; Language & Linguistics; Psychology, Experimental	Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI)	Linguistics; Psychology	ZC4GV					2024-03-15	WOS:000757481600007
B	Hornikx, J; van Meurs, F	Hornikx, J; VanMeurs, F			Hornikx, Jos; van Meurs, Frank	Hornikx, J; VanMeurs, F		Foreign Languages in Advertising Linguistic and Marketing Perspectives Complexities and Conclusions	FOREIGN LANGUAGES IN ADVERTISING: LINGUISTIC AND MARKETING PERSPECTIVES			English	Editorial Material; Book Chapter									[Hornikx, Jos; van Meurs, Frank] Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands	Radboud University Nijmegen	Hornikx, J (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands.								0	0	0	0	0	PALGRAVE MACMILLAN	LONDON	4 CRINAN ST, LONDON, LONDON, ENGLAND			978-3-030-31691-4; 978-3-030-31690-7				2020							160	160				10.1007/978-3-030-31691-4		1	Business; Communication; Language & Linguistics	Book Citation Index – Social Sciences & Humanities (BKCI-SSH)	Business & Economics; Communication; Linguistics	BR3OA		Green Submitted			2024-03-15	WOS:000648522500009
C	ten Bosch, L; Mulder, K; Boves, L			Int Speech Commun Assoc	ten Bosch, Louis; Mulder, Kimberley; Boves, Lou			Comparing EEG analyses with different epoch alignments in an auditory lexical decision experiment	INTERSPEECH 2020	Interspeech		English	Proceedings Paper	Interspeech Conference	OCT 25-29, 2020	Shanghai, PEOPLES R CHINA			EEG analysis; ERP; instantaneous power; epoch time-lock; linear mixed effects models; lexical decision; cognates	SPEECH; OSCILLATIONS; SIGNALS; ALPHA; MODEL	In processing behavioral data from auditory lexical decision, reaction times (RT) can be defined relative to stimulus onset or relative to stimulus offset. Using stimulus onset as the reference invokes models that assumes that relevant processing starts immediately, while stimulus offset invokes models that assume that relevant processing can only start when the acoustic input is complete. It is suggested that EEG recordings can be used to tear apart putative processes. EEG analysis requires some kind of time-locking of epochs, so that averaging of multiple signals does not mix up effects of different processes. However, in many lexical decision experiments the duration of the speech stimuli varies substantially. Consequently, processes tied to stimulus offset are not appropriately aligned and might get lost in the averaging process. In this paper we investigate whether the time course of putative processes such as phonetic encoding, lexical access and decision making can be derived from ERPs and from instantaneous power representations in several frequency bands when epochs are time-locked at stimulus onset or stimulus offset. In addition, we investigate whether time-locking at the moment when the response is given can shed light on the decision process per se.	[ten Bosch, Louis; Mulder, Kimberley; Boves, Lou] Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands	Radboud University Nijmegen	ten Bosch, L (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands.	l.tenbosch@let.ru.nl; K.Mulder@donders.ru.nl; L.Boves@ru.nl		ten bosch, louis/0000-0002-0152-9024	ERC [284108]; European Research Council (ERC) [284108] Funding Source: European Research Council (ERC)	ERC(European Research Council (ERC)); European Research Council (ERC)(European Research Council (ERC)Spanish Government)	The data used in this work was collected in a project funded by an ERC consolidator grant (284108) to Mirjam Ernestus.		32	1	1	0	1	ISCA-INT SPEECH COMMUNICATION ASSOC	BAIXAS	C/O EMMANUELLE FOXONET, 4 RUE DES FAUVETTES, LIEU DIT LOUS TOURILS, BAIXAS, F-66390, FRANCE	2308-457X			INTERSPEECH			2020							130	134		10.21437/Interspeech.2020-2450	http://dx.doi.org/10.21437/Interspeech.2020-2450			5	Audiology & Speech-Language Pathology; Computer Science, Artificial Intelligence; Computer Science, Software Engineering	Conference Proceedings Citation Index - Science (CPCI-S)	Audiology & Speech-Language Pathology; Computer Science	BT4QT		Green Published			2024-03-15	WOS:000833594100027
J	Sanders, J; van Krieken, K				Sanders, Jose; van Krieken, Kobie			Traveling through narrative time: How tense and temporal deixis guide the representation of time and viewpoint in news narratives	COGNITIVE LINGUISTICS			English	Article						deixis; news narrative; tense; time; viewpoint		This study examines the linguistic construal and cognitive representation of time and viewpoint in the genre of news narratives. We present a model of mental spaces that involves a News Space in which the deictic center is construed of the news actors at the time the newsworthy events took place, and a Reality Space in which the deictic here-and-now center of journalist and reader is construed. This model explains how the dynamic representation of narrative news discourse, characterized by shifts in time and viewpoint, is steered by linguistic devices. An analysis of Dutch news narratives shows that temporal adverbs such as yesterday and shifts from present tense to past tense may signal a move forward in narrative time, to a viewpoint in the future relative to the narrative now-point, rather than backward. These atypical time shifts can be accounted for by presupposing an Intermediate Space located at a point in time between the News Space and the Reality Space where the progression of narrative time comes to a halt and experiences are rather relived than reported. The salience of the Intermediate Space may be signaled by quotative conditionals reflecting the viewpoints of implicitly quoted sources. These results clarify how tense and temporal deixis steer the linguistic construal of time and viewpoint in news narratives, demonstrating that time and viewpoint are closely linked in the cognitive representation of these narratives.	[Sanders, Jose; van Krieken, Kobie] Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands	Radboud University Nijmegen	Sanders, J (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands.	j.sanders@let.ru.nl; k.vankrieken@let.ru.nl		van Krieken, Kobie/0000-0002-8578-9850	Innovational Research Incentives Scheme VENI grant from the Netherlands Organization for Scientific Research (NWO) [275-89-038]	Innovational Research Incentives Scheme VENI grant from the Netherlands Organization for Scientific Research (NWO)(Netherlands Organization for Scientific Research (NWO))	This research was supported by an Innovational Research Incentives Scheme VENI grant from the Netherlands Organization for Scientific Research (NWO; project number 275-89-038) awarded to Kobie van Krieken.		33	10	11	4	31	DE GRUYTER MOUTON	BERLIN	GENTHINER STRASSE 13, 10785 BERLIN, GERMANY	0936-5907	1613-3641		COGN LINGUIST	Cogn. Linguist	MAY	2019	30	2					281	304		10.1515/cog-2018-0041	http://dx.doi.org/10.1515/cog-2018-0041			24	Linguistics; Language & Linguistics	Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI)	Linguistics	HY1YF		Green Published, hybrid			2024-03-15	WOS:000467912700003
C	Liesenfeld, A; Dingemanse, M	Mariani, J	Calzolari, N; Bechet, F; Blache, P; Choukri, K; Cieri, C; Declerck, T; Goggi, S; Isahara, H; Maegaard, B; Mazo, H; Odijk, H; Piperidis, S		Liesenfeld, Andreas; Dingemanse, Mark	Mariani, J		Building and curating conversational corpora for diversity-aware language science and technology	LREC 2022: THIRTEEN INTERNATIONAL CONFERENCE ON LANGUAGE RESOURCES AND EVALUATION			English	Proceedings Paper	13th International Conference on Language Resources and Evaluation (LREC)	JUN 20-25, 2022	Marseille, FRANCE	Google, S African Ctr Digital Language Resources, Vocapia Res, 3M, Emvista, Expert.ai, Grammarly, Minist Culture, Delegat Gen Langue Francaise Aux Langues France, Reg Sud Provence Alpes Cote Azur		corpus creation and curation; conversation; interactional linguistics; linguistic typology; dialog systems; speech recognition	TURN-TAKING; DOCUMENTATION	We present an analysis pipeline and best practice guidelines for building and curating corpora of everyday conversation in diverse languages. Surveying language documentation corpora and other resources that cover 67 languages and varieties from 28 phyla, we describe the compilation and curation process, specify minimal properties of a unified format for interactional data, and develop methods for quality control that take into account turn-taking and timing. Two case studies show the broad utility of conversational data for (i) charting human interactional infrastructure and (ii) tracing challenges and opportunities for current ASR solutions. Linguistically diverse conversational corpora can provide new insights for the language sciences and stronger empirical foundations for language technology.	[Liesenfeld, Andreas; Dingemanse, Mark] Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands	Radboud University Nijmegen	Dingemanse, M (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands.	andreas.liesenfeld@ru.nl; mark.dingemanse@ru.nl			Dutch Research Council grant [NWO 016.vidi.185.205]	Dutch Research Council grant	Funding for the work reported here comes from Dutch Research Council grant NWO 016.vidi.185.205 to MD. We thank Ada Lopez for work on the processing pipeline and Matheus Azevedo for help in collating corpus metadata.		151	0	0	0	0	EUROPEAN LANGUAGE RESOURCES ASSOC-ELRA	PARIS	55-57, RUE BRILLAT-SAVARIN, PARIS, 75013, FRANCE			979-10-95546-72-6				2022							1178	1192						15	Computer Science, Interdisciplinary Applications; Linguistics	Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Computer Science; Linguistics	BU2ZO					2024-03-15	WOS:000889371701030
