PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
C	Khoe, YH		Calzolari, N; Bechet, F; Blache, P; Choukri, K; Cieri, C; Declerck, T; Goggi, S; Isahara, H; Maegaard, B; Mariani, J; Mazo, H; Moreno, A; Odijk, J; Piperidis, S		Khoe, Yung Han			Reproducing a Morphosyntactic Tagger with a Meta-BiLSTM Model over Context Sensitive Token Encodings	PROCEEDINGS OF THE 12TH INTERNATIONAL CONFERENCE ON LANGUAGE RESOURCES AND EVALUATION (LREC 2020)			English	Proceedings Paper	12th International Conference on Language Resources and Evaluation (LREC)	MAY 11-16, 2020	Marseille, FRANCE			reproduction; morphosyntactic tagging; meta-bilstm		Reproducibility is generally regarded as being a requirement for any form of experimental science. Even so, reproduction of research results is only recently beginning to be practiced and acknowledged. In the context of the REPROLANG 2020 shared task, we contribute to this trend by reproducing the work reported on by Bohnet et al. (2018) on morphosyntactic tagging. Their meta-BiLSTM model achieved state-of-the-art results across a wide range of languages. This was done by integrating sentence-level and single-word context through synchronized training by a meta-model. Our reproduction only partially confirms the main results of the paper in terms of outperforming earlier models. The results of our reproductions improve on earlier models on the morphological tagging task, but not on the part-of-speech tagging task. Furthermore, even where we improve on earlier models, we fail to match the F1-scores reported for the meta-BiLSTM model. Because we chose not to contact the original authors for our reproduction study, the uncertainty about the degree of parallelism that was achieved between the original study and our reproduction limits the value of our findings as an assessment of the reliability of the original results. At the same time, however, it underscores the relevance of our reproduction effort in regard to the reproducibility and interpretability of those findings. The discrepancies between our findings and the original results demonstrate that there is room for improvement in many aspects of reporting regarding the reproducibility of the experiments. In addition, we suggest that different reporting choices could improve the interpretability of the results.	[Khoe, Yung Han] Radboud Univ Nijmegen, CLS, Nijmegen, Netherlands	Radboud University Nijmegen	Khoe, YH (corresponding author), Radboud Univ Nijmegen, CLS, Nijmegen, Netherlands.	yhkhoe@protonmail.com		Khoe, Yung Han/0000-0002-1541-5490					15	1	1	0	0	EUROPEAN LANGUAGE RESOURCES ASSOC-ELRA	PARIS	55-57, RUE BRILLAT-SAVARIN, PARIS, 75013, FRANCE			979-10-95546-34-4				2020							5563	5568						6	Computer Science, Interdisciplinary Applications; Linguistics; Language & Linguistics	Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Computer Science; Linguistics	BS4ZZ					2024-03-22	WOS:000724697206068
C	Van Hout, R; Sijs, NV; Komen, E; Van den Heuvel, H	Declerck, T	Calzolari, N; Choukri, K; Cieri, C; Hasida, K; Isahara, H; Maegaard, B; Mariani, J; Moreno, A; Odijk, J; Piperidis, S; Tokunaga, T; Goggi, S; Mazo, H		van Hout, Roeland; Van ser Sijs, Nicoline; Komen, Erwin; van den Heuvel, Henk	Declerck, T		A Fast and Flexible Webinterface for Dialect Research in the Low Countries	PROCEEDINGS OF THE ELEVENTH INTERNATIONAL CONFERENCE ON LANGUAGE RESOURCES AND EVALUATION (LREC 2018)			English	Proceedings Paper	11th International Conference on Language Resources and Evaluation (LREC)	MAY 07-12, 2018	Miyazaki, JAPAN			web services; data curation; dialects		This paper describes the development of webportals with search applications built in order to make the data from the 33 volumes of the Dictionary of the Brabantic dialects (1967-2005) and the 39 volumes of the Dictionary of the Limburgian dialects (1983-2008) accessible and retrievable for both the research community and the general audience. Part of the data was available in a digital format, a larger part only in print. The printed data was semi-automatically converted from paper to structured text (database). This process allowed for streamlining information, applying (semi-)automatic data checks and manually correcting the input. Next, the resulting database was the backbone of a webportal for faceted search requests on the full collection, including filtering and splitting the results on metadata. The design and implementation of the webportals, called e-WBD and e-WLD, are being defined in more detail. The URLs of the portals are: http://e-wbd.nl/ and http://www.e-wld.nl/.	[van Hout, Roeland; Van ser Sijs, Nicoline; Komen, Erwin; van den Heuvel, Henk] Radboud Univ Nijmegen, CLS, Erasmuspl 1, Nijmegen, Netherlands	Radboud University Nijmegen	Van Hout, R (corresponding author), Radboud Univ Nijmegen, CLS, Erasmuspl 1, Nijmegen, Netherlands.	r.vanhout@let.ru.nl; n.vandersijs@let.ru.nl; e.komen@let.ru.nl; h.vandenheuvel@let.ru.nl			Raod voor 't Limburgs; chair of Diversity in Language and Culture of Tilburg University	Raod voor 't Limburgs; chair of Diversity in Language and Culture of Tilburg University	The data form the core of the web application. The data curation has been executed by former editor Joep Kruijsen, research assistants Linda van Meel and Aukje Borkent, student assistants Jorik van Engeland, Inge Otto, Lisette van der Heijde and Hanna van den Heuvel, interns Maaike Borst and Eline Dimmendaal. We greatly thank them for their meticulous and diligent work on the manual text processing. We also thank volunteers Jantien Kettenes-Van den Bosch and Herman Wiltink for their work on the preprocessing of the text documents. We thank the Raod voor 't Limburgs and the chair of Diversity in Language and Culture of Tilburg University for their moral and financial support, and Thijs Hermsen for drawing the website's logos showing the Limburgian and Brabantic dialect areas.		6	0	0	0	0	EUROPEAN LANGUAGE RESOURCES ASSOC-ELRA	PARIS	55-57, RUE BRILLAT-SAVARIN, PARIS, 75013, FRANCE			979-10-95546-00-9				2018							3617	3621						5	Computer Science, Interdisciplinary Applications; Linguistics; Language & Linguistics	Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Computer Science; Linguistics	BS5BI					2024-03-22	WOS:000725545003111
J	Khoe, YH; Tsoukala, C; Kootstra, GJ; Frank, SL				Khoe, Yung Han; Tsoukala, Chara; Kootstra, Gerrit Jan; Frank, Stefan L.			Is structural priming between different languages a learning effect? Modelling priming as error-driven implicit learning	LANGUAGE COGNITION AND NEUROSCIENCE			English	Article						Cross-language structural priming; error-driven implicit learning; multilingualism; sentence production; dual-path model	SHARED SYNTACTIC REPRESENTATIONS; CONNECTIONIST MODEL; R PACKAGE; BILINGUALS; PERSISTENCE; ENGLISH; INFORMATION; SPEAKING; GERMAN; ORDER	To test whether error-driven implicit learning can explain cross-language structural priming, we implemented three different models of bilingual sentence production: Spanish-English, verb-final Dutch-English, and verb-medial Dutch-English. With these models, we conducted simulation experiments that all revealed clear and strong cross-language priming effects. One of these experiments included structures with different word order between the two languages. This enabled us to distinguish between the error-driven learning account of structural priming and an alternative hybrid account which predicts that identical word order is required for cross-language priming. Cross-language priming did occur in our model between structures with different word order. This is in line with results from behavioural experiments. The results of the three experiments reveal varying degrees of evidence for stronger within-language priming than cross-language priming. This is consistent with results from behavioural studies. Overall, our findings support the viability of error-driven implicit learning as an account of cross-language structural priming.	[Khoe, Yung Han; Tsoukala, Chara; Kootstra, Gerrit Jan; Frank, Stefan L.] Radboud Univ Nijmegen, Ctr Language Studies CLS, Nijmegen, Netherlands	Radboud University Nijmegen	Khoe, YH (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies CLS, Nijmegen, Netherlands.	yunghan.khoe@ru.nl	Kootstra, Gerrit Jan/U-9128-2018	Kootstra, Gerrit Jan/0000-0002-2274-3644					62	3	3	4	20	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	2327-3798	2327-3801		LANG COGN NEUROSCI	Lang. Cogn. Neurosci.	APR 21	2023	38	4			SI		537	557		10.1080/23273798.2021.1998563	http://dx.doi.org/10.1080/23273798.2021.1998563		NOV 2021	21	Audiology & Speech-Language Pathology; Behavioral Sciences; Linguistics; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Audiology & Speech-Language Pathology; Behavioral Sciences; Linguistics; Psychology	F4BM9		hybrid, Green Submitted, Green Published			2024-03-22	WOS:000718782900001
C	Oostdijk, N; van Halteren, H; Basar, E; Larson, M		Calzolari, N; Bechet, F; Blache, P; Choukri, K; Cieri, C; Declerck, T; Goggi, S; Isahara, H; Maegaard, B; Mariani, J; Mazo, H; Moreno, A; Odijk, J; Piperidis, S		Oostdijk, Nelleke; van Halteren, Hans; Basar, Erkan; Larson, Martha			The Connection between the Text and Images of News Articles: New Insights for Multimedia Analysis	PROCEEDINGS OF THE 12TH INTERNATIONAL CONFERENCE ON LANGUAGE RESOURCES AND EVALUATION (LREC 2020)			English	Proceedings Paper	12th International Conference on Language Resources and Evaluation (LREC)	MAY 11-16, 2020	Marseille, FRANCE			Corpus (Creation, Annotation etc.); Multimedia Document Processing; Tools; Systems; Applications		We report on a case study of text and images that reveals the inadequacy of simplistic assumptions about their connection and interplay. The context of our work is a larger effort to create automatic systems that can extract event information from online news articles about flooding disasters. We carry out a manual analysis of 1,000 articles containing a keyword related to flooding. The analysis reveals that the articles in our data set cluster into seven categories related to different topical aspects of flooding, and that the images accompanying the articles cluster into five categories related to the content they depict. The results demonstrate that flood-related news articles do not consistently report on a single, currently unfolding flooding event and we should also not assume that a flood-related image will directly relate to a flooding-event described in the corresponding article. In particular, spatiotemporal distance is important. We validate the manual analysis with an automatic classifier demonstrating the technical feasibility of multimedia analysis approaches that admit more realistic relationships between text and images. In sum, our case study confirms that closer attention to the connection between text and images has the potential to improve the collection of multimodal information from news articles.	[Oostdijk, Nelleke; van Halteren, Hans; Larson, Martha] Radboud Univ Nijmegen, CLS, Nijmegen, Netherlands; [Basar, Erkan] FloodTags, The Hague, Netherlands	Radboud University Nijmegen	Oostdijk, N (corresponding author), Radboud Univ Nijmegen, CLS, Nijmegen, Netherlands.	n.oostdijk@let.ru.nl; hvh@let.ru.nl; basar@floodtags.com; m.larson@let.ru.nl	Larson, Martha/E-9983-2014						18	2	3	1	1	EUROPEAN LANGUAGE RESOURCES ASSOC-ELRA	PARIS	55-57, RUE BRILLAT-SAVARIN, PARIS, 75013, FRANCE			979-10-95546-34-4				2020							4343	4351						9	Computer Science, Interdisciplinary Applications; Linguistics; Language & Linguistics	Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Computer Science; Linguistics	BS4ZZ					2024-03-22	WOS:000724697205041
C	Nijveld, A; ten Bosch, L; Ernestus, M			Int Speech Commun Assoc	Nijveld, Annika; ten Bosch, Louis; Ernestus, Mirjam			ERP signal analysis with temporal resolution using a time window bank	INTERSPEECH 2019	Interspeech		English	Proceedings Paper	Interspeech Conference	SEP 15-19, 2019	Graz, AUSTRIA			EEG; ERP analyses; speech comprehension; time window analysis; linear mixed effects models	SPOKEN WORD RECOGNITION; IDENTIFICATION; SPECIFICITY	In order to study the cognitive processes underlying speech comprehension, neuro-physiological measures (e.g., EEG and MEG), or behavioural measures (e.g., reaction times and response accuracy) can be applied. Compared to behavioural measures, EEG signals can provide a more fine-grained and complementary view of the processes that take place during the unfolding of an auditory stimulus. EEG signals are often analysed after having chosen specific time windows, which are usually based on the temporal structure of ERP components expected to be sensitive to the experimental manipulation. However, as the timing of ERP components may vary between experiments, trials, and participants, such a-priori defined analysis time windows may significantly hamper the exploratory power of the analysis of components of interest. In this paper, we explore a wide-window analysis method applied to EEG signals collected in an auditory repetition priming experiment. This approach is based on a bank of temporal filters arranged along the time axis in combination with linear mixed effects modelling. Crucially, it permits a temporal decomposition of effects in a single comprehensive statistical model which captures the entire EEG trace.	[Nijveld, Annika; ten Bosch, Louis; Ernestus, Mirjam] Radboud Univ Nijmegen, CLS, Nijmegen, Netherlands; [ten Bosch, Louis] Radboud Univ Nijmegen, CLST, Nijmegen, Netherlands; [ten Bosch, Louis] Donders Inst, Nijmegen, Netherlands	Radboud University Nijmegen; Radboud University Nijmegen	Nijveld, A (corresponding author), Radboud Univ Nijmegen, CLS, Nijmegen, Netherlands.	a.nijveld@let.ru.nl; l.tenbosch@let.ru.nl; m.ernestus@let.ru.nl	Ernestus, Mirjam/E-4344-2010	ten bosch, louis/0000-0002-0152-9024					15	2	2	1	1	ISCA-INT SPEECH COMMUNICATION ASSOC	BAIXAS	C/O EMMANUELLE FOXONET, 4 RUE DES FAUVETTES, LIEU DIT LOUS TOURILS, BAIXAS, F-66390, FRANCE	2308-457X			INTERSPEECH			2019							1208	1212		10.21437/Interspeech.2019-2729	http://dx.doi.org/10.21437/Interspeech.2019-2729			5	Audiology & Speech-Language Pathology; Computer Science, Artificial Intelligence	Conference Proceedings Citation Index - Science (CPCI-S)	Audiology & Speech-Language Pathology; Computer Science	BT4LP		Green Published			2024-03-22	WOS:000831796401073
C	Sanders, E; van den Bosch, A		Calzolari, N; Bechet, F; Blache, P; Choukri, K; Cieri, C; Declerck, T; Goggi, S; Isahara, H; Maegaard, B; Mariani, J; Mazo, H; Moreno, A; Odijk, J; Piperidis, S		Sanders, Eric; van den Bosch, Antal			Optimising Twitter-based Political Election Prediction with Relevance and Sentiment Filters	PROCEEDINGS OF THE 12TH INTERNATIONAL CONFERENCE ON LANGUAGE RESOURCES AND EVALUATION (LREC 2020)			English	Proceedings Paper	12th International Conference on Language Resources and Evaluation (LREC)	MAY 11-16, 2020	Marseille, FRANCE			Large Scale Annotation; Election Prediction; Relevance Filters; Sentiment Analysis		We study the relation between the number of mentions of political parties in the last weeks before the elections and the election results. In this paper we focus on the Dutch elections of the parliament in 2012 and for the provinces (and the senate) in 2011 and 2015. With raw counts, without adaptations, we achieve a mean absolute error (MAE) of 2.71% for 2011, 2.02% for 2012 and 2.89% for 2015. A set of over 17,000 tweets containing political party names were annotated by at least three annotators per tweet on ten features denoting communicative intent (including the presence of sarcasm, the message's polarity, the presence of an explicit voting endorsement or explicit voting advice, etc.). The annotations were used to create oracle (gold-standard) filters. Tweets with or without a certain majority annotation are held out from the tweet counts, with the goal of attaining lower MAEs. With a grid search we tested all combinations of filters and their responding MAE to find the best filter ensemble. It appeared that the filters show markedly different behaviour for the three elections and only a small MAE improvement is possible when optimizing on all three elections. Larger improvements for one election are possible, but result in deterioration of the MAE for the other elections.	[Sanders, Eric] Radboud Univ Nijmegen, CLS CLST, Nijmegen, Netherlands; KNAW Meertens Inst, Amsterdam, Netherlands	Radboud University Nijmegen; Royal Netherlands Academy of Arts & Sciences; Meertens Institute (KNAW)	Sanders, E (corresponding author), Radboud Univ Nijmegen, CLS CLST, Nijmegen, Netherlands.	e.sanders@let.ru.nl; antal.van.den.bosch@meertens.knaw.nl		van den Bosch, Antal/0000-0003-2493-656X					8	2	2	0	0	EUROPEAN LANGUAGE RESOURCES ASSOC-ELRA	PARIS	55-57, RUE BRILLAT-SAVARIN, PARIS, 75013, FRANCE			979-10-95546-34-4				2020							6158	6165						8	Computer Science, Interdisciplinary Applications; Linguistics; Language & Linguistics	Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Computer Science; Linguistics	BS4ZZ					2024-03-22	WOS:000724697207021
C	Sanders, E; van den Bosch, A		Weber, I; Darwish, KM; Wagner, C; Zagheni, E; Nelson, L; Aref, S; Flock, F		Sanders, Eric; van den Bosch, Antal			A Longitudinal Study on Twitter-Based Forecasting of Five Dutch National Elections	SOCIAL INFORMATICS, SOCINFO 2019	Lecture Notes in Computer Science		English	Proceedings Paper	11th Conference on Social Informatics (SocInfo)	NOV 18-21, 2019	Doha, QATAR	Qatar Natl Res Fund, Qatar Comp Res Inst, NW Univ, Carnegie Mellon Univ, Springer		Twitter; Election forecasting; Longitudinal study	PREDICTING ELECTIONS	We report on an eight-year longitudinal study of predicting the outcome of elections based on party mentions in tweets. Five Dutch national elections for the parliament and senate between 2011 and 2019 were examined. Configurations with four parameters were tested. For three elections, reasonably accurate predictions can be obtained that are under twice the error of the classic polls, but only after post-hoc optimization. When the same optimal parameter configuration is used for all elections, the results worsen.	[Sanders, Eric; van den Bosch, Antal] Radboud Univ Nijmegen, CLS CLST, Nijmegen, Netherlands; [van den Bosch, Antal] KNAW Meertens Inst, Amsterdam, Netherlands	Radboud University Nijmegen; Royal Netherlands Academy of Arts & Sciences; Meertens Institute (KNAW)	Sanders, E (corresponding author), Radboud Univ Nijmegen, CLS CLST, Nijmegen, Netherlands.	e.sanders@let.ru.nl; antal.van.den.bosch@meertens.knaw.nl		van den Bosch, Antal/0000-0003-2493-656X					21	2	2	0	2	SPRINGER INTERNATIONAL PUBLISHING AG	CHAM	GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND	0302-9743	1611-3349	978-3-030-34971-4; 978-3-030-34970-7	LECT NOTES COMPUT SC			2019	11864						128	142		10.1007/978-3-030-34971-4_9	http://dx.doi.org/10.1007/978-3-030-34971-4_9			15	Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science, Theory & Methods	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BQ6FJ					2024-03-22	WOS:000611501800009
J	Rafiee, A; Spooren, W; Sanders, J				Rafiee, Afrooz; Spooren, Wilbert; Sanders, Jose			Culture and discourse structure: A comparative study of Dutch and Iranian news texts	DISCOURSE & COMMUNICATION			English	Article						Chronology; discourse analysis; hybrid news; Iranian news; news structure	NEWSPAPER EDITORIALS; JOURNALISM; ENGLISH; RETHINKING	Many studies of structure in present-day Western news texts have shown that the dominant structure is the inverted pyramid, even if the use of a chronological narrative structure is acknowledged. However, the relevant literature has exclusively investigated Western news texts. In this study, we challenge the dominance of the inverted news structure by including a non-Western and less-investigated culture and ask whether textual structure of news texts can differ between cultural contexts. In total, 100 crime news texts from national Iranian and Dutch newspapers were analyzed for both the overall text and the journalists' statements. Those texts that showed a hybrid structure (combining inverted pyramid and chronology) were subsequently studied qualitatively to understand how chronology is applied in them. News texts from the two cultures were significantly different in their structure. Qualitative analysis of the journalistic statements uncovered a quotation-based structure, a way of news writing in Iranian journalistic statements in which the journalist mainly narrates reporting eventualities that are new to Western eyes. The study offers implications for further ethnography of news and communication, suggesting that the role, pattern and effects of (journalistic) communication can be culture-specific.	[Rafiee, Afrooz] Radboud Univ Nijmegen, POB 9103, NL-6500 HD Nijmegen, Netherlands; [Spooren, Wilbert] Radboud Univ Nijmegen, CLS, Discourse Studies Dutch, Nijmegen, Netherlands; [Sanders, Jose] Radboud Univ Nijmegen, CLS, Narrat Commun, Nijmegen, Netherlands	Radboud University Nijmegen; Radboud University Nijmegen; Radboud University Nijmegen	Rafiee, A (corresponding author), Radboud Univ Nijmegen, POB 9103, NL-6500 HD Nijmegen, Netherlands.	a.rafiee@let.ru.nl							71	7	7	3	19	SAGE PUBLICATIONS INC	THOUSAND OAKS	2455 TELLER RD, THOUSAND OAKS, CA 91320 USA	1750-4813	1750-4821		DISCOURSE COMMUN	Discourse Commun.	FEB	2018	12	1					58	79		10.1177/1750481317735626	http://dx.doi.org/10.1177/1750481317735626			22	Communication	Social Science Citation Index (SSCI)	Communication	FS5PP		Bronze			2024-03-22	WOS:000419850500004
C	van den Heuvel, H; Komen, E; Oostdijk, N	Declerck, T	Calzolari, N; Choukri, K; Cieri, C; Hasida, K; Isahara, H; Maegaard, B; Mariani, J; Moreno, A; Odijk, J; Piperidis, S; Tokunaga, T; Goggi, S; Mazo, H		van den Heuvel, Henk; Komen, Erwin; Oostdijk, Nelleke	Declerck, T		Metadata Collection Records for Language Resources	PROCEEDINGS OF THE ELEVENTH INTERNATIONAL CONFERENCE ON LANGUAGE RESOURCES AND EVALUATION (LREC 2018)			English	Proceedings Paper	11th International Conference on Language Resources and Evaluation (LREC)	MAY 07-12, 2018	Miyazaki, JAPAN			LR infrastructure; metadata; collection records; Collection Bank		In this paper we motivate the need for introducing more elaborate and consistent metadata records for collections of (linguistic) data resources in the CLARIN context. For this purpose we designed and implemented a CMDI profile. We validated the profile in a first pilot in which we populated the profile for 45 Dutch language resources. Given the complexity of the profile and special purpose requirements we developed our own interface for creating, editing, listing, copying and exporting descriptions of metadata collection records. The requirements for this interface and its implementation are described.	[van den Heuvel, Henk; Oostdijk, Nelleke] Radboud Univ Nijmegen, CLST, CLS, Erasmuspl 1, Nijmegen, Netherlands; [van den Heuvel, Henk; Komen, Erwin] Radboud Univ Nijmegen, Humanities Lab, Erasmuspl 1, Nijmegen, Netherlands	Radboud University Nijmegen; Radboud University Nijmegen	Van den Heuvel, H (corresponding author), Radboud Univ Nijmegen, CLST, CLS, Erasmuspl 1, Nijmegen, Netherlands.; Van den Heuvel, H (corresponding author), Radboud Univ Nijmegen, Humanities Lab, Erasmuspl 1, Nijmegen, Netherlands.	h.vandenheuvel@let.ru.nl; e.komen@let.ru.nl; n.oostdijk@let.ru.nl			Dutch CLARIAH programmme [CC-WP3-15-002]	Dutch CLARIAH programmme	The work reported here was funded by the Dutch CLARIAH programmme<SUP>26</SUP> under project number CC-WP3-15-002. We are grateful to Hanna van den Heuvel for editing the metadata collection records in the project.		12	0	0	0	0	EUROPEAN LANGUAGE RESOURCES ASSOC-ELRA	PARIS	55-57, RUE BRILLAT-SAVARIN, PARIS, 75013, FRANCE			979-10-95546-00-9				2018							1282	1288						7	Computer Science, Interdisciplinary Applications; Linguistics; Language & Linguistics	Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Computer Science; Linguistics	BS5BI					2024-03-22	WOS:000725545001057
C	Nallanthighal, VS; Härmä, A; Strik, H			IEEE	Nallanthighal, Venkata Srikanth; Harma, Aki; Strik, Helmer			SPEECH BREATHING ESTIMATION USING DEEP LEARNING METHODS	2020 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH, AND SIGNAL PROCESSING	International Conference on Acoustics Speech and Signal Processing ICASSP		English	Proceedings Paper	IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP)	MAY 04-08, 2020	Barcelona, SPAIN	Inst Elect & Elect Engineers, Inst Elect & Elect Engineers, Signal Proc Soc		Speech breathing; signal processing; speech technology; deep neural networks; Multi task learning	RIB CAGE	Breathing is the primary mechanism for maintaining the sub-glottal pressure for speech production. Speech can be seen as a systematic outflow of air during exhalation characterized by linguistic content and prosodic factors. Thus, sensing respiratory dynamics from the speech is plausible. In this paper, we explore techniques for sensing breathing from speech using deep learning architectures including multi-task learning approaches. Estimating the breathing pattern from the speech would give us information about the respiration rate, breathing capacity and thus enable us to understand the pathological condition of a person using one's speech. Training and evaluation of our model on our database of breathing signal and speech for 40 subjects yielded a sensitivity of 0.88 for breath event detection and 5.6 % error for breathing rate estimation.	[Nallanthighal, Venkata Srikanth; Harma, Aki] Philips Res, Eindhoven, Netherlands; [Nallanthighal, Venkata Srikanth; Strik, Helmer] Radboud Univ Nijmegen, Ctr Language Studies CLS, Nijmegen, Netherlands	Philips; Philips Research; Radboud University Nijmegen	Nallanthighal, VS (corresponding author), Philips Res, Eindhoven, Netherlands.; Nallanthighal, VS (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies CLS, Nijmegen, Netherlands.			Harma, Aki/0000-0002-2966-3305	Horizon H2020 Marie Skodowska-Curie Actions Initial Training Network European Training Network project [766287]; Data Science Department, Philips Research, Eindhoven	Horizon H2020 Marie Skodowska-Curie Actions Initial Training Network European Training Network project; Data Science Department, Philips Research, Eindhoven	This work was partially supported by the Horizon H2020 Marie Skodowska-Curie Actions Initial Training Network European Training Network project under grant agreement No. 766287 (TAPAS) and Data Science Department, Philips Research, Eindhoven.		16	14	14	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1520-6149		978-1-5090-6631-5	INT CONF ACOUST SPEE			2020							1140	1144		10.1109/icassp40776.2020.9053753	http://dx.doi.org/10.1109/icassp40776.2020.9053753			5	Acoustics; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Acoustics; Engineering	BQ7HU					2024-03-22	WOS:000615970401076
